id,page,n,c1,c2,c3,c4
147,6,3,#FF4DC9,#740909,#B5FFC2,
148,6,3,#D1BD19,#FFAB00,#29BDAD,
149,6,3,#D1BD19,#FF5200,#0F261F,
150,6,3,#FFCFC4,#A6D40D,#B3E8C2,
151,6,3,#F5F5B8,#FF8C00,#003E83,
152,6,3,#C9303E,#681916,#A6E6DB,
153,6,3,#FF5EC4,#FFAB00,#A6D40D,
154,6,3,#D60036,#FFFF00,#0D75FF,
155,6,3,#FA2B00,#00D973,#000831,
156,6,3,#D1BD19,#94FF94,#2619D1,
157,6,3,#6F0043,#D1BD19,#4F8FE6,
158,6,3,#F2FF26,#C2612C,#7AFF00,
159,6,3,#B68400,#80FFCC,#B8B8FF,
160,6,3,#BAA600,#5E4017,#417777,
161,6,3,#6C2B11,#F2AD78,#0057BA,
162,6,3,#D94D99,#85B857,#B875EB,
163,6,3,#FFE600,#B5FFC2,#008AA1,
164,6,3,#E81900,#FFAB00,#2619D1,
165,6,3,#E6ADCF,#FF4DC9,#5C2C45,
166,6,3,#FF616B,#FAED8F,#0F261F,
167,6,3,#C0B490,#ABF5ED,#003E83,
168,6,3,#F2FF26,#003E83,#7E3075,
169,6,3,#FFA6D9,#FFF59E,#9CB29E,
170,6,3,#B319AB,#FFAB00,#3400A3,
171,6,3,#730F1F,#FF8C00,#B3E8C2,
172,6,3,#C2612C,#008AA1,#3400A3,
173,6,3,#F2FF26,#651300,#B5FFC2,
174,6,3,#FFA6D9,#BFABCC,#6B2E63,
175,6,3,#F2AD78,#BCD382,#4733FF,
176,7,3,#FFB3F0,#FFCFC4,#80FFCC,
177,7,3,#730F1F,#888D2A,#B8B8FF,
178,7,3,#EBD999,#A6E6DB,#2DBC94,
179,7,3,#E81900,#FA9442,#0024CC,
180,7,3,#FFBF6E,#9161F2,#B5D1CC,
181,7,3,#A10B2B,#2619D1,#340059,
182,7,3,#B85E00,#362304,#000831,
183,7,3,#5C7287,#7E3075,#3400A3,
184,7,3,#FF4DC9,#EBD999,#76844E,
185,7,3,#B08699,#C9303E,#FFF59E,
186,7,3,#681916,#D99E73,#0D75FF,
187,7,3,#0057BA,#BFABCC,#9C52F2,
188,7,3,#85B857,#96BFE6,#94FF94,
189,7,3,#F2FF26,#172713,#6BFFB3,
190,7,3,#EBD999,#DE4500,#000000,
191,7,3,#B08699,#E0B81F,#0D75FF,
192,7,3,#FFB852,#362304,#5C7287,
193,7,3,#FF616B,#FAED8F,#23C17C,
194,7,3,#FA2B00,#FFCFC4,#4F8FE6,
195,7,3,#FF4DC9,#FFF59E,#B5D1CC,
196,7,3,#A6D40D,#ABF5ED,#4733FF,
197,7,3,#FF5EC4,#4D52DE,#B5D1CC,
198,7,3,#A93400,#FFE600,#40C945,
199,7,3,#A7374B,#706934,#0024CC,
200,7,3,#A10B2B,#BCD382,#66AB56,
201,7,3,#FF616B,#718600,#94FF94,
202,7,3,#B5FFC2,#94FF94,#1B3644,
203,7,3,#FFF59E,#F59994,#405416,
204,7,3,#B319AB,#C2612C,#A6E6DB,
205,7,3,#730F1F,#F59994,#2619D1,
206,7,3,#FFA6D9,#FA9442,#C2612C,
207,7,3,#9B5348,#B3E8C2,#000000,
208,7,3,#F5F5B8,#2DBC94,#008AA1,
209,7,3,#EBD999,#FF8C00,#96BFE6,
210,7,3,#FFBF6E,#F2FF26,#405416,
211,8,3,#FF7340,#99B333,#000831,
212,8,3,#A90636,#8C6510,#96BFE6,
213,8,3,#F59994,#FFE600,#ABF5ED,
214,8,3,#EBD999,#9B5348,#2619D1,
215,8,3,#FFB852,#0D75FF,#BF36E0,
216,8,3,#FA2B00,#40C945,#000000,
217,8,3,#730F1F,#D99E73,#1B8E13,
218,8,3,#0057BA,#B8B8FF,#5C7287,
219,8,3,#FA2B00,#66AB56,#00592E,
